id,idLicitacion,ordenCompra,estado,rutCliente,referencia,fecha,plazo,usuario
44,2447-215-L116,,Pendiente,69.040.300-5,,2016-12-21T00:00:00.000Z,,soledad2
45,4735-54-L116,,Pendiente,69.265.000-K,,2016-12-21T00:00:00.000Z,,soledad2
46,2789-277-L116,,Pendiente,69.072.600-9,,2016-12-21T00:00:00.000Z,,soledad2
47,2733-429-L116,,Pendiente,,,2016-12-22T00:00:00.000Z,,soledad2
48,1736-1070-L116,,Pendiente,69.255.300-4,1,2016-12-22T00:00:00.000Z,8,soledad2
49,4560-111-L116,,Pendiente,69.160.401-2,1,2016-12-22T00:00:00.000Z,8,soledad2
51,3492-76-L116,,Pendiente,69.051.300-5,1,2016-12-22T00:00:00.000Z,8,soledad2
52,4083-91-L116,,Pendiente,69.151.002-6,1,2016-12-23T00:00:00.000Z,8,soledad2
53,3780-146-L116,,Pendiente,,,2016-12-24T00:00:00.000Z,,soledad2
54,619578-28-L116,,Pendiente,69.050.600-9,1,2016-12-26T00:00:00.000Z,8,soledad2
55,2288-75-L116,,Pendiente,69.041.300-0,1,2016-12-27T00:00:00.000Z,8,soledad2
56,2733-430-L116,,Pendiente,69.071.700-K,1,2016-12-27T00:00:00.000Z,8,soledad2
57,2961-1103-L116,,Pendiente,69.072.400-6,1,2016-12-27T00:00:00.000Z,8,soledad2
58,2583-854-L116,,Pendiente,,,2016-12-29T00:00:00.000Z,,soledad2
59,4560-116-L116,,Pendiente,,1,2016-12-29T00:00:00.000Z,8,soledad2
60,3516-178-L116,,Pendiente,69.190.500-4,1,2017-01-03T00:00:00.000Z,8,soledad2
61,2583-857-L116,,Pendiente,69.070.900-7,1,2017-01-03T00:00:00.000Z,8,soledad2
62,2310-676-L116,fghfg,Adjudicada,69.110.100-2,g,2017-01-04T00:00:00.000Z,g,soledad2
63,2585-493-L116,,Pendiente,69.010.100-9,1,2017-01-03T00:00:00.000Z,8,soledad2
67,2789-4-L117,,Pendiente,69.072.600-9,1,2017-01-10T00:00:00.000Z,8,soledad2
66,4316-38-L116,,Pendiente,60.904.046-7,1,2017-01-09T00:00:00.000Z,8,soledad2
68,2789-3-L117,,Pendiente,69.072.600-9,1,2017-01-10T00:00:00.000Z,8,soledad2
69,2789-1-L117,,Pendiente,69.072.600-9,1,2017-01-10T00:00:00.000Z,8,soledad2
70,4190-1-L117,,Pendiente,69.030.300-0,1,2017-01-11T00:00:00.000Z,8,soledad2
71,3024-3-L117,,Pendiente,69.130.800-6,1,2017-01-11T00:00:00.000Z,8,soledad2
72,2287-2-L117,,Pendiente,69.253.700-9,1,2017-01-11T00:00:00.000Z,8,soledad2
81,3704-3-L117,,Pendiente,69.254.400-5,1,2017-01-11T00:00:00.000Z,8,soledad2
74,3453-2-L117,,Pendiente,61.979.960-7,1,2017-01-11T00:00:00.000Z,8,soledad2
3363,2763-1979-COT22,,Pendiente,69.151.201-0, 2763-1979-COT22,2022-12-01T00:00:00.000Z,15 dias ,MONSESAEZ
83,2930-1-L117,,Pendiente,69.231.300-3,1,2017-01-13T00:00:00.000Z,8,soledad2
84,2287-6-L117,,Pendiente,,,2017-01-13T00:00:00.000Z,,soledad2
85,HMJR244,,Pendiente,69.253.700-9,1,2017-01-13T00:00:00.000Z,8,soledad2
86,4322-1-L117,,Pendiente,,1,2017-01-16T00:00:00.000Z,8,soledad2
87,2583-6-L117,,Pendiente,69.070.900-7,1,2017-01-16T00:00:00.000Z,8,soledad2
88,2826-169-L116,,Pendiente,69.120.100-7,1,2017-01-16T00:00:00.000Z,8,soledad2
89,3888-3-L117,,Pendiente,,1,2017-01-16T00:00:00.000Z,8,soledad2
90,3947-16-L117,,Pendiente,69.151.400-5,1,2017-01-17T00:00:00.000Z,8,soledad2
91,4263-2-L117,,Pendiente,,1,2017-01-17T00:00:00.000Z,8,soledad2
92,4019-1-L117,,Pendiente,69.251.100-K,1,2017-01-17T00:00:00.000Z,8,soledad2
93,3743-3-L117,,Pendiente,69.180.300-7,1,2017-01-17T00:00:00.000Z,8,soledad2
94,4263-3-L117,,Pendiente,69.180.100-4,1,2017-01-17T00:00:00.000Z,8,soledad2
96,3743-5-L117,,Pendiente,69.180.300-7,1,2017-01-18T00:00:00.000Z,8,soledad2
97,2328-27-L117,,Pendiente,69.220.100-0,1,2017-01-18T00:00:00.000Z,8,soledad2
98,5067-12-L117,,Pendiente,60.911.000-7,1,2017-01-19T00:00:00.000Z,8,soledad2
99,4475-2-L117,,Pendiente,69.100.200-4,1,2017-01-23T00:00:00.000Z,8,soledad2
100,2783-13-L117,,Pendiente,69.050.100-7,1,2017-01-23T00:00:00.000Z,8,soledad2
101,2738-246-L116,,Pendiente,69.050.600-9,,2017-01-23T00:00:00.000Z,,soledad2
102,2736-8-L117,,Pendiente,69.180.100-4,1,2017-01-24T00:00:00.000Z,8,soledad2
103,2436-31-L117,,Pendiente,69.100.100-8,1,2017-01-24T00:00:00.000Z,8,soledad2
104,3299-2-L117,,Pendiente,69.100.500-3,1,2017-01-24T00:00:00.000Z,8,soledad2
105,2447-14-L117,,Pendiente,69.040.300-5,1,2017-01-25T00:00:00.000Z,8,soledad2
106,2961-12-L117,,Pendiente,69.072.400-6,1,2017-01-26T00:00:00.000Z,8,soledad2
107,3448-2-L117,,Pendiente,69.190.400-8,,2017-01-26T00:00:00.000Z,,soledad2
108,2961-7-L117,,Pendiente,69.072.400-6,1,2017-01-26T00:00:00.000Z,8,soledad2
109,4475-15-L117,,Pendiente,69.100.200-4,1,2017-01-30T00:00:00.000Z,8,soledad2
110,4030-10-L117,,Pendiente,69.251.100-K,1,2017-01-30T00:00:00.000Z,8,soledad2
111,2915-25-L117,,Pendiente,69.250.500-K,1,2017-01-30T00:00:00.000Z,8,soledad2
112,2915-24-L117,,Pendiente,69.250.500-K,,2017-01-30T00:00:00.000Z,,soledad2
113,2273-17-L117,,Pendiente,69.253.800-5,1,2017-01-31T00:00:00.000Z,8,soledad2
114,2733-21-L117,,Pendiente,69.071.700-K,1,2017-01-31T00:00:00.000Z,8,soledad2
115,1736-38-L117,,Pendiente,69.255.300-4,1,2017-02-01T00:00:00.000Z,8,soledad2
116,1736-40-L117,,Pendiente,69.255.300-4,1,2017-02-01T00:00:00.000Z,8,soledad2
119,2467-26-L117,,Pendiente,69.140.900-7,1,2017-02-02T00:00:00.000Z,8,soledad2
120,3706-9-L117,,Pendiente,69.141.300-4,,2017-02-02T00:00:00.000Z,,soledad2
121,2451-5-L117,JUEGO SOPA LETRAS,Pendiente,69.070.100-6,1,2017-02-02T00:00:00.000Z,8,soledad2
122,2341-32-L117,,Pendiente,69.072.700-5,1,2017-02-02T00:00:00.000Z,8,soledad2
123,2787-3-L117,,Pendiente,69.264.800-5,1,2017-02-03T00:00:00.000Z,8,soledad2
124,2366-591-L116,,Pendiente,69.010.100-9,1,2017-02-03T00:00:00.000Z,8,soledad2
125,4525-26-L117,,Pendiente,69.264.400-K,1,2017-02-03T00:00:00.000Z,8,soledad2
126,4596-9-L117,,Pendiente,69.140.801-9,,2017-03-06T00:00:00.000Z,,soledad2
127,4323-27-L117,,Pendiente,69.190.300-1,1,2017-02-06T00:00:00.000Z,8,soledad2
128,5907-3-L117,,Pendiente,69.010.200-5,1,2017-02-06T00:00:00.000Z,8,soledad2
129,3299-7-L117,,Pendiente,69.100.500-3,1,2017-02-07T00:00:00.000Z,8,soledad2
130,2407-17-L117,,Pendiente,69.071.200-8,1,2017-02-07T00:00:00.000Z,8,soledad2
131,1638-17-L117,,Pendiente,69.250.500-K,1,2017-02-08T00:00:00.000Z,8,soledad2
132,1638-11-L117,,Pendiente,,1,2017-02-08T00:00:00.000Z,8,soledad2
134,3986-10-L117,,Pendiente,69.200.200-8,1,2017-02-08T00:00:00.000Z,8,soledad2
135,3586-67-L117,,Pendiente,69.190.500-4,1,2017-02-09T00:00:00.000Z,8,soledad2
136,2280-34-L117,,Pendiente,69.200.100-1,1,2017-02-09T00:00:00.000Z,8,soledad2
151,1723-19-L117,,Pendiente,69.200.600-3,1,2017-02-16T00:00:00.000Z,8,soledad2
146,2863-7-L117	,,Pendiente,,,2017-02-13T00:00:00.000Z,,soledad2
149,3021-28-L117,,Pendiente,69.151.301-7,1,2017-02-14T00:00:00.000Z,8,soledad2
150,3767-4-L117,,Pendiente,69.110.600-4,1,2017-02-16T00:00:00.000Z,8,soledad2
152,2407-31-L117,,Pendiente,69.071.200-8,1,2017-02-16T00:00:00.000Z,8,soledad2
153,3706-15-L117,,Pendiente,69.141.300-4,,2017-02-20T00:00:00.000Z,,sonia2
154,4703-9-L117,,Pendiente,69.073.000-6,,2017-02-20T00:00:00.000Z,,soledad2
155,5214-7-L117,,Pendiente,69.072.400-6,1,2017-02-20T00:00:00.000Z,8,soledad2
156,2996-32-L117,,Pendiente,69.040.800-7,1,2017-02-21T00:00:00.000Z,8,soledad2
157,3510-15-L117,,Pendiente,69.220.601-0,1,2017-02-21T00:00:00.000Z,8,soledad2
159,2328-32-LE17,,Pendiente,,,2017-02-27T00:00:00.000Z,,soledad2
160,1288-6-L117,,Pendiente,61.608.200-0,,2017-02-22T00:00:00.000Z,,soledad2
161,99999999999,99999999999999999,Adjudicada,17.355.630-6,999,2017-02-21T00:00:00.000Z,90,matesp
162,2421-23-L117,,Pendiente,69.256.900-8,1,2017-03-07T00:00:00.000Z,8,soledad2
163,2310-71-L117,,Pendiente,69.110.100-2,1,2017-03-07T00:00:00.000Z,8,soledad2
164,2324-74-L117,,Pendiente,69.220.100-0,1,2017-03-07T00:00:00.000Z,8,soledad2
165,5215-85-l115,,Pendiente,69.072.400-6,1,2017-03-07T00:00:00.000Z,8,soledad2
166,2409-124-L117,,Pendiente,69.170.101-8,1,2017-03-08T00:00:00.000Z,8,soledad2
167,2992-45-L117,,Pendiente,69.040.800-7,1,2017-03-08T00:00:00.000Z,8,soledad2
168,5215-97-L117,,Pendiente,69.072.400-6,1,2017-03-08T00:00:00.000Z,8,soledad2
169,2310-82-L117,,Pendiente,69.110.100-2,1,2017-03-09T00:00:00.000Z,8,soledad2
170,3933-6-L117,,Pendiente,69.190.900-K,1,2017-03-10T00:00:00.000Z,8 ,elennys
171,3477-46-L117,,Pendiente,69.190.800-3,1,2017-03-13T00:00:00.000Z,8,soledad2
172,4170-30-L117,,Pendiente,69.190.200-5,1,2017-03-13T00:00:00.000Z,8,soledad2
174,3767-14-L117,,Pendiente,69.110.600-4,1,2017-03-13T00:00:00.000Z,8,soledad2
280,3021-189-L117,,Pendiente,69.151.301-7,8,2017-05-08T00:00:00.000Z,1,soledad2
176,3246-56-L117,,Pendiente,61.103.019-3,1,2017-03-15T00:00:00.000Z,8,soledad2
177,846-11-L117,,Pendiente,70.072.600-2,1,2017-03-15T00:00:00.000Z,8,soledad2
178,3024-28-L117,,Pendiente,69.130.800-6,1,2017-03-15T00:00:00.000Z,8,soledad2
179,3510-23-L117,,Pendiente,69.220.601-0,1,2017-03-15T00:00:00.000Z,8,soledad2
180,1380-58-L117,,Pendiente,61.602.232-6,1,2017-03-16T00:00:00.000Z,8,soledad2
181,5215-155-L117,,Pendiente,69.072.400-6,1,2017-03-16T00:00:00.000Z,8,soledad2
184,4179-48-L117,,Pendiente,69.190.100-9,1,2017-03-20T00:00:00.000Z,8,soledad2
185,2451-11-L117,,Pendiente,69.070.100-6,1,2017-03-20T00:00:00.000Z,8,soledad2
186,935-10-L117,,Pendiente,61.107.000-4,1,2017-03-20T00:00:00.000Z,8,soledad2
187,2793-68-L117,,Pendiente,69.255.400-0,1,2017-03-21T00:00:00.000Z,8,soledad2
188,3494-45-l117,,Pendiente,69.190.800-3,,2017-03-27T00:00:00.000Z,,elennys
189,2704-52-L117,,Pendiente,60.911.006-6,1,2017-03-23T00:00:00.000Z,8,soledad2
190,4562-17-L117,,Pendiente,69.080.300-3,1,2017-03-27T00:00:00.000Z,8,soledad2
191,439-16-L117,,Pendiente,69.110.200-9,1,2017-03-27T00:00:00.000Z,8,soledad2
192,2328-153-L117,,Pendiente,69.220.100-0,1,2017-03-27T00:00:00.000Z,8,soledad2
193,3494-46-L117,,Pendiente,69.190.800-3,1,2017-03-27T00:00:00.000Z,8,soledad2
194,4123-13-L117,,Pendiente,69.140.302-5,1,2017-03-27T00:00:00.000Z,8,soledad2
195,3947-61-L117,,Pendiente,69.151.400-5,1,2017-03-28T00:00:00.000Z,8,soledad2
196,3947-62-L117,,Pendiente,69.151.400-5,,2017-03-28T00:00:00.000Z,,soledad2
197,931-12-L117,,Pendiente,61.107.000-4,,2017-03-30T00:00:00.000Z,,elennys
200,4475-58-L117,,Pendiente,69.100.200-4,1,2017-03-28T00:00:00.000Z,8,soledad2
201,5215-240-L117,,Pendiente,69.072.400-6,1,2017-03-29T00:00:00.000Z,8,soledad2
202,4123-23-L117,,Pendiente,69.140.302-5,,2017-03-29T00:00:00.000Z,,soledad2
203,2393-88-L117,,Pendiente,69.254.900-7,1,2017-03-29T00:00:00.000Z,8,soledad2
205,2445-37-L117,,Pendiente,69.100.100-8,1,2017-03-30T00:00:00.000Z,8,soledad2
206,5215-228-L117,,Pendiente,69.072.400-6,1,2017-03-30T00:00:00.000Z,8,soledad2
207,686686-5-L117,,Pendiente,69.072.700-5,1,2017-03-30T00:00:00.000Z,8,soledad2
208,3447-34-L117,,Pendiente,69.265.100-6,1,2017-03-30T00:00:00.000Z,8,soledad2
209,3200-4-l117,-,Pendiente,69.191.100-4,Mercado Publico,2017-03-30T00:00:00.000Z,-,elennys
210,931-13-L117,-,Pendiente,61.107.000-4,-,2017-03-30T00:00:00.000Z,-,elennys
211,4703-34-L117,,Pendiente,69.073.000-6,1,2017-04-03T00:00:00.000Z,8,soledad2
212,2280-95-L117,,Pendiente,69.200.100-1,1,2017-04-03T00:00:00.000Z,8,soledad2
213,2864-25-L117,,Pendiente,69.210.400-5,1,2017-04-03T00:00:00.000Z,8,soledad2
214,2484-150-L117,,Pendiente,69.071.300-4,1,2017-04-03T00:00:00.000Z,8,soledad2
215,2280-103-L117,,Pendiente,69.200.100-1,1,2017-04-03T00:00:00.000Z,8,soledad2
216,3933-10-L117,,Pendiente,69.190.900-K,1,2017-04-03T00:00:00.000Z,8,soledad2
217,2310-146-L117,,Pendiente,69.110.100-2,1,2017-04-03T00:00:00.000Z,8,soledad2
219,3697-51-L117,,Pendiente,69.180.900-5,1,2017-04-04T00:00:00.000Z,8,soledad2
220,5214-14-L117,,Pendiente,69.072.400-6,1,2017-04-04T00:00:00.000Z,8,soledad2
221,5214-15-L117,,Pendiente,69.072.400-6,1,2017-04-04T00:00:00.000Z,8,soledad2
222,1236-15-L117,,Pendiente,61.107.000-4,1,2017-04-05T00:00:00.000Z,8,soledad2
223,5215-271-L117,,Pendiente,69.072.400-6,1,2017-04-04T00:00:00.000Z,8,soledad2
224,1469-29-L117,,Pendiente,70.885.500-6,1,2017-04-05T00:00:00.000Z,8,soledad2
225,3779-50-L117,,Pendiente,69.130.401-9,,2017-04-06T00:00:00.000Z,,soledad2
226,2273-172-L117,,Pendiente,69.253.800-5,1,2017-04-06T00:00:00.000Z,8,soledad2
227,2436-170-L117,,Pendiente,69.100.100-8,1,2017-04-06T00:00:00.000Z,8,soledad2
228,2504-15-L117,,Pendiente,69.110.700-0,1,2017-04-07T00:00:00.000Z,8,soledad2
229,2451-14-L117,,Pendiente,69.070.100-6,1,2017-04-07T00:00:00.000Z,8,soledad2
230,324-173-L117,,Pendiente,69.255.000-5,1,2017-04-07T00:00:00.000Z,8,soledad2
231,4041-46-L117,,Pendiente,69.220.401-8,1,2017-04-10T00:00:00.000Z,8,soledad2
232,3485-57-L117,,Pendiente,69.190.400-8,1,2017-04-10T00:00:00.000Z,8,soledad2
233,5384-1-L117,,Pendiente,71.133.700-8,1,2017-04-10T00:00:00.000Z,8,soledad2
234,4041-48-L117,,Pendiente,69.220.401-8,1,2017-04-10T00:00:00.000Z,8,soledad2
235,3780-52-L117,,Pendiente,69.130.402-7,1,2017-04-10T00:00:00.000Z,8,soledad2
236,3554-22-L117,,Pendiente,69.020.100-3,1,2017-04-11T00:00:00.000Z,8,soledad2
237,2371-91-L117,,Pendiente,69.254.200-2,1,2017-04-11T00:00:00.000Z,8,soledad2
238,2371-92-L117,,Pendiente,69.254.200-2,1,2017-04-11T00:00:00.000Z,8,soledad2
239,2371-93-L117,,Pendiente,69.254.200-2,1,2017-04-11T00:00:00.000Z,8,soledad2
240,3201-39-L117,,Pendiente,69.191.100-4,1,2017-04-13T00:00:00.000Z,8,soledad2
241,602-35-L117,,Pendiente,69.210.301-7,1,2017-04-20T00:00:00.000Z,8,soledad2
242,602-37-L117,,Pendiente,69.210.301-7,,2017-04-20T00:00:00.000Z,,soledad2
243,2436-187-L117,,Pendiente,69.100.100-8,1,2017-04-17T00:00:00.000Z,8,soledad2
244,2273-192-L117,,Pendiente,69.253.800-5,1,2017-04-17T00:00:00.000Z,8,soledad2
245,2409-192-L117,,Pendiente,69.170.101-8,1,2017-04-18T00:00:00.000Z,8,soledad2
246,2310-195-L117,,Pendiente,69.110.100-2,1,2017-04-18T00:00:00.000Z,8,soledad2
247,2408-319-L117,,Pendiente,69.170.100-K,1,2017-04-20T00:00:00.000Z,8,soledad2
248,2961-184-L117,,Pendiente,69.072.400-6,1,2017-04-24T00:00:00.000Z,8,soledad2
249,2826-35-L117,,Pendiente,69.120.100-7,1,2017-04-23T00:00:00.000Z,8,soledad2
250,874750-28-L117,,Pendiente,61.607.903-4,1,2017-04-23T00:00:00.000Z,8,soledad2
251,782278-23-L117,,Pendiente,69.110.600-4,1,2017-04-24T00:00:00.000Z,8,soledad2
252,2756-55-L117,,Pendiente,69.073.400-1,1,2017-04-24T00:00:00.000Z,8,soledad2
253,2756-58-L117,,Pendiente,69.073.400-1,1,2017-04-24T00:00:00.000Z,8,soledad2
254,1201-11-le17,,Pendiente,61.107.000-4,,2017-04-24T00:00:00.000Z,,elennys
255,3994-15-L117,,Pendiente,69.081.400-5,1,2017-04-25T00:00:00.000Z,8,soledad2
257,4256-18-L117,,Pendiente,69.140.700-4,1,2017-04-27T00:00:00.000Z,8,soledad2
258,857-455-L117,,Pendiente,72.576.700-5,1,2017-04-27T00:00:00.000Z,8,soledad2
259,1658-269-L117,,Pendiente,69.190.700-7,1,2017-04-27T00:00:00.000Z,8,soledad2
260,3201-42-L117,,Pendiente,69.191.100-4,1,2017-05-02T00:00:00.000Z,8,soledad2
261,2311-56-l117,,Pendiente,69.110.100-2,0,2017-05-02T00:00:00.000Z,8,soledad2
262,1199-10-L117,,Pendiente,61.107.000-4,1,2017-05-02T00:00:00.000Z,8,soledad2
263,2280-133-L117,,Pendiente,69.200.100-1,1,2017-05-02T00:00:00.000Z,8,soledad2
264,3017-173-L117,,Pendiente,69.151.300-9,1,2017-05-02T00:00:00.000Z,8,soledad2
265,2280-105-L117,,Pendiente,69.200.100-1,1,2017-05-02T00:00:00.000Z,8,soledad2
266,5615-15-L117,,Pendiente,69.141.700-K,1,2017-05-02T00:00:00.000Z,8,soledad2
267,857-472-L117,,Pendiente,72.576.700-5,1,2017-05-02T00:00:00.000Z,8,soledad2
268,2738-64-L117,,Pendiente,69.050.600-9,1,2017-05-02T00:00:00.000Z,8,soledad2
269,2281-195-L117,,Pendiente,69.200.100-1,1,2017-05-02T00:00:00.000Z,8,soledad2
270,4703-41-L117,,Pendiente,69.073.000-6,1,2017-05-02T00:00:00.000Z,8,soledad2
271,2778-90-L117,,Pendiente,69.081.200-2,1,2017-05-03T00:00:00.000Z,8,soledad2
272,602-40-L117,,Pendiente,69.210.301-7,1,2017-05-03T00:00:00.000Z,8,soledad2
273,4091-57-L117,,Pendiente,69.220.500-6,1,2017-05-03T00:00:00.000Z,8,soledad2
274,1197-9-L117,,Pendiente,61.107.000-4,1,2017-05-03T00:00:00.000Z,8,soledad2
275,2341-234-L117,,Pendiente,69.072.700-5,1,2017-05-04T00:00:00.000Z,8,soledad2
276,4595-2-L117,,Pendiente,69.141.101-K,1,2017-05-04T00:00:00.000Z,8,soledad2
277,2436-203-L117,,Pendiente,69.100.100-8,1,2017-05-04T00:00:00.000Z,8,soledad2
278,2412-104-L117,,Pendiente,69.254.100-6,1,2017-05-05T00:00:00.000Z,8,soledad2
279,1658-289-L117,,Pendiente,69.190.700-7,,2017-05-05T00:00:00.000Z,,soledad2
281,3921-43-L117,,Pendiente,69.191.500-K,1,2017-05-08T00:00:00.000Z,8,soledad2
282,2409-256-L117,,Pendiente,69.170.101-8,1,2017-05-10T00:00:00.000Z,8,soledad2
283,3494-71-L117,,Pendiente,69.190.800-3,1,2017-05-10T00:00:00.000Z,8,soledad2
284,2393-127-L117,,Pendiente,69.254.900-7,,2017-05-10T00:00:00.000Z,,soledad2
285,5215-355-L117,,Pendiente,69.072.400-6,1,2017-05-11T00:00:00.000Z,8,soledad2
286,2583-246-L117,,Pendiente,69.070.900-7,,2017-05-11T00:00:00.000Z,,soledad2
287,2281-310-L117,,Pendiente,69.200.100-1,1,2017-05-11T00:00:00.000Z,8,Marcela1
288,2310-239-L117,,Pendiente,69.110.100-2,1,2017-05-11T00:00:00.000Z,8,soledad2
289,3477-76-L117,,Pendiente,69.190.800-3,,2017-05-15T00:00:00.000Z,,elennys
290,2409-274-L117,,Pendiente,69.170.101-8,1,2017-05-15T00:00:00.000Z,8,soledad2
291,4589-44-L117,,Pendiente,69.251.700-8,1,2017-05-15T00:00:00.000Z,8,soledad2
292,2284-120-l117,,Pendiente,69.200.100-1,1,2017-05-15T00:00:00.000Z,8,soledad2
293,609-49-L117,,Pendiente,69.210.301-7,1,2017-05-16T00:00:00.000Z,8,soledad2
294,2281-314-L117,,Pendiente,69.200.100-1,1,2017-05-16T00:00:00.000Z,8,soledad2
295,2409-232-L117,,Pendiente,69.170.101-8,1,2017-05-17T00:00:00.000Z,8,soledad2
296,2343-121-L117,,Pendiente,69.070.100-6,1,2017-05-18T00:00:00.000Z,8,soledad2
297,2328-213-L117,,Pendiente,69.220.100-0,1,2017-05-18T00:00:00.000Z,8,soledad2
298,4703-48-L117,,Pendiente,69.073.000-6,1,2017-05-18T00:00:00.000Z,8,soledad2
299,2343-122-L117,,Pendiente,69.070.100-6,1,2017-05-18T00:00:00.000Z,8,soledad2
300,2756-67-L117,,Pendiente,69.073.400-1,1,2017-05-18T00:00:00.000Z,8,soledad2
301,2311-63-L117,,Pendiente,69.110.100-2,1,2017-05-18T00:00:00.000Z,8,soledad2
302,4525-69-L117,,Pendiente,69.264.400-K,1,2017-05-18T00:00:00.000Z,8,soledad2
303,5214-33-L117,,Pendiente,69.072.400-6,1,2017-05-22T00:00:00.000Z,8,soledad2
304,4457-40-L117,,Pendiente,69.150.601-0,1,2017-05-22T00:00:00.000Z,8,soledad2
305,935-24-L117,,Pendiente,,1,2017-05-22T00:00:00.000Z,8 dias,soledad2
306,2656-147-L117,,Pendiente,,,2017-05-22T00:00:00.000Z,,soledad2
307,2409-248-L117,,Pendiente,69.170.101-8,1,2017-05-23T00:00:00.000Z,8,soledad2
308,4847-89-L117,,Pendiente,61.606.700-1,1,2017-05-23T00:00:00.000Z,8,soledad2
309,2409-303-L117,,Pendiente,69.170.101-8,1,2017-05-23T00:00:00.000Z,9,soledad2
310,5215-381-L117,,Pendiente,69.072.400-6,1,2017-05-23T00:00:00.000Z,8,soledad2
311,2484-262-L117,,Pendiente,69.071.300-4,1,2017-05-23T00:00:00.000Z,8,soledad2
312,2310-270-L117,,Pendiente,69.110.100-2,1,2017-05-23T00:00:00.000Z,8,soledad2
313,2863-26-L117,,Pendiente,69.210.400-5,1,2017-05-24T00:00:00.000Z,8,soledad2
314,2345-162-L117,,Pendiente,,,2017-05-24T00:00:00.000Z,,soledad2
315,2273-285-L117,,Pendiente,69.253.800-5,1,2017-05-25T00:00:00.000Z,8,soledad2
316,2420-22-L117,,Pendiente,65.317.810-7,1,2017-05-25T00:00:00.000Z,8,soledad2
317,560224-115-L117,,Pendiente,69.071.800-6,1,2017-05-25T00:00:00.000Z,8,soledad2
318,2756-78-L117,,Pendiente,69.073.400-1,1,2017-05-29T00:00:00.000Z,8,soledad2
